ano;tipo_ingresso;regime_juridico;genero;grupo_cargo;quantidade_ingressos
2008;Concurso;Estatutário;Masculino;Carreiras De Pesq.Em Cienc.E Tecnologia;2
2008;Concurso;Estatutário;Masculino;Defesa Aerea E Controle De Trafego Aereo;70
2008;Concurso;Estatutário;Masculino;Diplomacia;71
2008;Concurso;Estatutário;Masculino;Especialista C&T Prod Inov Saude Publica;1
2008;Concurso;Estatutário;Masculino;Especialista Em Meio Ambiente;41
2008;Concurso;Estatutário;Masculino;Especialista Em Metrol E Qualid Senior;2
2008;Concurso;Estatutário;Masculino;Estrutura Remun Cargos Esp - Lei 12277;15
2008;Concurso;Estatutário;Masculino;Gestao;11
2008;Concurso;Estatutário;Masculino;Mag.Superior E 1 E 2 Graus Lei 7596/87;535
2008;Concurso;Estatutário;Masculino;Pericia Medica Da Previdencia Social;4
2008;Concurso;Estatutário;Masculino;Planej.Infra-Estrut.Cienc.E Tecnologia;52
2008;Concurso;Estatutário;Masculino;Plano Carreira Cargos Tec Aux Agropec;116
2008;Concurso;Estatutário;Masculino;Plano De Cargos De Juiz Do Trib Maritimo;2
2008;Concurso;Estatutário;Masculino;Plano De Carreira Dos Cargos Tae-Ife;2503
2008;Concurso;Estatutário;Masculino;Plano De Carreiras Da Abin;3
2008;Concurso;Estatutário;Masculino;Plano Esp De Cargos Do Minist Da Fazenda;2
2008;Concurso;Estatutário;Masculino;Plano Especial De Cargos - Suframa;73
2008;Concurso;Estatutário;Masculino;Plano Especial De Cargos Da Cultura;16
2008;Concurso;Estatutário;Masculino;Plano Geral De Cargos Do Poder Executivo;102
2008;Concurso;Estatutário;Masculino;Plano Geral De Cargos Poder Executivo-Ni;99
2008;Concurso;Estatutário;Masculino;Receita Federal Brasil;2
2008;Concurso;Estatutário;Masculino;Receita Federal Do Brasil;2
2008;Processo Seletivo;Contrato Temporário;Masculino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;136
2008;Processo Seletivo;Contrato Temporário;Masculino;Contrato Temporario Lei 8745/93;2026
2008;Processo Seletivo;Contrato Temporário;Masculino;Mag.Superior E 1 E 2 Graus Lei 7596/87;3038
2009;Concurso;Estatutário;Feminino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;39
2009;Concurso;Estatutário;Feminino;Cargo Isolado - Pcc Mag Federal;1
2009;Concurso;Estatutário;Feminino;Cargos Da Cvm/Susep;2
2009;Concurso;Estatutário;Feminino;Cargos Das Agencias Reguladoras;184
2009;Concurso;Estatutário;Feminino;Cargos De Inspecao Do Mapa;6
2009;Concurso;Estatutário;Feminino;Cargos De Nivel Intermediario- Cvm/Susep;9
2009;Concurso;Estatutário;Feminino;Cargos De Nivel Medio;1
2009;Concurso;Estatutário;Feminino;Carreira Advocacia Da Uniao;57
2009;Concurso;Estatutário;Feminino;Carreira Auditor Fiscal Federal Agrop;3
2009;Concurso;Estatutário;Feminino;Carreira Da Area Juridica;51
2009;Concurso;Estatutário;Feminino;Carreira Da Prev Da Saude E Do Trabalho;4777
2009;Concurso;Estatutário;Feminino;Carreira De Assistente De Chancelaria;36
2009;Concurso;Estatutário;Feminino;Carreira De Desenvolvimento Tecnologico;38
2009;Concurso;Estatutário;Feminino;Carreira De Financ E Execucao-Fnde;34
2009;Concurso;Estatutário;Feminino;Carreira De Infra-Estrutura;16
2009;Concurso;Estatutário;Feminino;Carreira De Magisterio Superior;3831
2009;Concurso;Estatutário;Feminino;Carreira De Oficial De Chancelaria;51
2009;Concurso;Estatutário;Feminino;Carreira De Perito Medico Federal;2
2009;Concurso;Estatutário;Feminino;Carreira De Pesq Em Propried Industrial;20
2009;Concurso;Estatutário;Feminino;Carreira De Pesq Inf Geog E Estatística;2
2009;Concurso;Estatutário;Feminino;Carreira De Pesquisa E Desenvolvim-Inep;42
2009;Concurso;Estatutário;Feminino;Carreira De Plan Gest E Inf Est Prop Ind;4
2009;Concurso;Estatutário;Feminino;Carreira De Policial Rodoviario Federal;31
2009;Concurso;Estatutário;Feminino;Carreira De Sup Tec Em Prop Industrial;3
2009;Concurso;Estatutário;Feminino;Carreira De Suporte Tecnico - Fnde;58
2009;Concurso;Estatutário;Feminino;Carreira De Suporte Tecnico Tec Militar;17
2009;Concurso;Estatutário;Feminino;Carreira De Suporte Tecnico-Inep;18
2009;Concurso;Estatutário;Feminino;Carreira De Tecnologia Militar;8
2009;Concurso;Estatutário;Feminino;Carreira Defensoria Publica;35
2009;Concurso;Estatutário;Feminino;Carreira Des Tec C&T Prod Inov Saude Pub;1
2009;Concurso;Estatutário;Feminino;Carreira Dnit;23
2009;Concurso;Estatutário;Feminino;Carreira Do Dnpm;1
2009;Concurso;Estatutário;Feminino;Carreira Do Seguro Social;856
2009;Concurso;Estatutário;Feminino;Carreira Fiscal Do Trabalho;1
2009;Concurso;Estatutário;Feminino;Carreira Magist Ens Bas Tec Tecnol;151
2009;Concurso;Estatutário;Feminino;Carreira Penitenciaria Federal;62
2009;Concurso;Estatutário;Feminino;Carreira Policial Federal;66
2009;Concurso;Estatutário;Feminino;Carreira Procurador Da Fazenda Nacional;72
2009;Concurso;Estatutário;Feminino;Carreira Sup Plan Gest Inf Est Prop Ind;6
2009;Concurso;Estatutário;Feminino;Carreiras De Pesq.Em Cienc.E Tecnologia;16
2009;Concurso;Estatutário;Feminino;Defesa Aerea E Controle De Trafego Aereo;25
2009;Concurso;Estatutário;Feminino;Diplomacia;24
2009;Concurso;Estatutário;Feminino;Especialista Em Meio Ambiente;167
2009;Concurso;Estatutário;Feminino;Estrutura Remun Cargos Esp - Lei 12277;20
2009;Concurso;Estatutário;Feminino;Gestao;99
2009;Concurso;Estatutário;Feminino;Hfa / Carreira De Especialista / Ns;153
2009;Concurso;Estatutário;Feminino;Hfa / Carreira Medica;198
2009;Concurso;Estatutário;Feminino;Hfa / Carreira Suporte / Ni;524
2009;Concurso;Estatutário;Feminino;Mag.Superior E 1 E 2 Graus Lei 7596/87;548
2009;Concurso;Estatutário;Feminino;Planej.Infra-Estrut.Cienc.E Tecnologia;151
2009;Concurso;Estatutário;Feminino;Plano Carreira Cargos Tec Aux Agropec;48
2009;Concurso;Estatutário;Feminino;Plano De Carreira Dos Cargos Tae-Ife;2250
2009;Concurso;Estatutário;Feminino;Plano De Carreiras -Ni- Susep-Cvm;1
2009;Concurso;Estatutário;Feminino;Plano De Carreiras Da Abin;24
2009;Concurso;Estatutário;Feminino;Plano Esp De Cargos Do Minist Da Fazenda;761
2009;Concurso;Estatutário;Feminino;Plano Especial De Cargos - Suframa;1
2009;Concurso;Estatutário;Feminino;Plano Especial De Cargos Do Mma/Ibama;42
2009;Concurso;Estatutário;Feminino;Plano Geral De Cargos Do Poder Executivo;90
2009;Concurso;Estatutário;Feminino;Plano Geral De Cargos Poder Executivo-Ni;269
2009;Concurso;Estatutário;Feminino;Receita Federal Brasil;28
2009;Concurso;Estatutário;Feminino;Receita Federal Do Brasil;106
2009;Concurso;Estatutário;Feminino;-;16
2009;Processo Seletivo;Contrato Temporário;Feminino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;526
2009;Processo Seletivo;Contrato Temporário;Feminino;Contrato Lei 8745/93 - Dec 4748/2003;21
2009;Processo Seletivo;Contrato Temporário;Feminino;Contrato Temporario Lei 8745/93;1182
2009;Processo Seletivo;Contrato Temporário;Feminino;Mag.Superior E 1 E 2 Graus Lei 7596/87;2849
2009;Concurso;Estatutário;Masculino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;44
2009;Concurso;Estatutário;Masculino;Cargo Isolado De Especialista;22
2009;Concurso;Estatutário;Masculino;Cargos Da Cvm/Susep;21
2009;Concurso;Estatutário;Masculino;Cargos Das Agencias Reguladoras;638
2009;Concurso;Estatutário;Masculino;Cargos De Inspecao Do Mapa;3
2009;Concurso;Estatutário;Masculino;Cargos De Nivel Intermediario- Cvm/Susep;13
2009;Concurso;Estatutário;Masculino;Carreira Advocacia Da Uniao;97
2009;Concurso;Estatutário;Masculino;Carreira Auditor Fiscal Federal Agrop;3
2009;Concurso;Estatutário;Masculino;Carreira Da Area Juridica;61
2009;Concurso;Estatutário;Masculino;Carreira Da Prev Da Saude E Do Trabalho;2741
2009;Concurso;Estatutário;Masculino;Carreira De Assistente De Chancelaria;19
2009;Concurso;Estatutário;Masculino;Carreira De Desenvolvimento Tecnologico;88
2009;Concurso;Estatutário;Masculino;Carreira De Financ E Execucao-Fnde;26
2009;Concurso;Estatutário;Masculino;Carreira De Infra-Estrutura;33
2009;Concurso;Estatutário;Masculino;Carreira De Magisterio Superior;4313
2009;Concurso;Estatutário;Masculino;Carreira De Oficial De Chancelaria;92
2009;Concurso;Estatutário;Masculino;Carreira De Perito Medico Federal;2
2009;Concurso;Estatutário;Masculino;Carreira De Pesq Em Propried Industrial;39
2009;Concurso;Estatutário;Masculino;Carreira De Pesq Inf Geog E Estatística;9
2009;Concurso;Estatutário;Masculino;Carreira De Pesquisa E Desenvolvim-Inep;27
2009;Concurso;Estatutário;Masculino;Carreira De Plan Gest E Inf Est Prop Ind;3
2009;Concurso;Estatutário;Masculino;Carreira De Policial Rodoviario Federal;311
2009;Concurso;Estatutário;Masculino;Carreira De Refor E Desen Agrario-Incra;2
2009;Concurso;Estatutário;Masculino;Carreira De Sup Tec Em Prop Industrial;3
2009;Concurso;Estatutário;Masculino;Carreira De Suporte Tecnico - Fnde;61
2009;Concurso;Estatutário;Masculino;Carreira De Suporte Tecnico Tec Militar;228
2009;Concurso;Estatutário;Masculino;Carreira De Suporte Tecnico-Inep;12
2009;Concurso;Estatutário;Masculino;Carreira De Tecnologia Militar;68
2009;Concurso;Estatutário;Masculino;Carreira Defensoria Publica;40
2009;Concurso;Estatutário;Masculino;Carreira Dnit;69
2009;Concurso;Estatutário;Masculino;Carreira Do Dnpm;2
2009;Concurso;Estatutário;Masculino;Carreira Do Seguro Social;111
2009;Concurso;Estatutário;Masculino;Carreira Fiscal Do Trabalho;1
2009;Concurso;Estatutário;Masculino;Carreira Magist Ens Bas Tec Tecnol;188
2009;Concurso;Estatutário;Masculino;Carreira Penitenciaria Federal;128
2009;Concurso;Estatutário;Masculino;Carreira Policial Federal;482
2009;Concurso;Estatutário;Masculino;Carreira Procurador Da Fazenda Nacional;58
2009;Concurso;Estatutário;Masculino;Carreira Sup Plan Gest Inf Est Prop Ind;4
2009;Concurso;Estatutário;Masculino;Carreiras De Pesq.Em Cienc.E Tecnologia;30
2009;Concurso;Estatutário;Masculino;Defesa Aerea E Controle De Trafego Aereo;99
2009;Concurso;Estatutário;Masculino;Diplomacia;94
2009;Concurso;Estatutário;Masculino;Especialista Em Meio Ambiente;258
2009;Concurso;Estatutário;Masculino;Estrutura Remun Cargos Esp - Lei 12277;61
2009;Concurso;Estatutário;Masculino;Gestao;339
2009;Concurso;Estatutário;Masculino;Hfa / Carreira De Especialista / Ns;34
2009;Concurso;Estatutário;Masculino;Hfa / Carreira Medica;192
2009;Concurso;Estatutário;Masculino;Hfa / Carreira Suporte / Ni;112
2009;Concurso;Estatutário;Masculino;Mag.Superior E 1 E 2 Graus Lei 7596/87;764
2009;Concurso;Estatutário;Masculino;Planej.Infra-Estrut.Cienc.E Tecnologia;148
2009;Concurso;Estatutário;Masculino;Plano Carreira Cargos Tec Aux Agropec;63
2009;Concurso;Estatutário;Masculino;Plano De Car. Dos Cargos Tecnol Militar;1
2009;Concurso;Estatutário;Masculino;Plano De Carreira Dos Cargos Tae-Ife;2217
2009;Concurso;Estatutário;Masculino;Plano De Carreiras -Ni- Susep-Cvm;8
2009;Concurso;Estatutário;Masculino;Plano De Carreiras Da Abin;112
2009;Concurso;Estatutário;Masculino;Plano Esp De Cargos Do Minist Da Fazenda;791
2009;Concurso;Estatutário;Masculino;Plano Especial De Cargos - Anvisa;1
2009;Concurso;Estatutário;Masculino;Plano Especial De Cargos - Suframa;9
2009;Concurso;Estatutário;Masculino;Plano Especial De Cargos Do Mma/Ibama;59
2009;Concurso;Estatutário;Masculino;Plano Geral De Cargos Do Poder Executivo;73
2009;Concurso;Estatutário;Masculino;Plano Geral De Cargos Poder Executivo-Na;1
2009;Concurso;Estatutário;Masculino;Plano Geral De Cargos Poder Executivo-Ni;279
2009;Concurso;Estatutário;Masculino;Receita Federal Brasil;79
2009;Concurso;Estatutário;Masculino;Receita Federal Do Brasil;113
2009;Concurso;Estatutário;Masculino;-;112
2009;Transposição;Estatutário;Masculino;Policiais Civis De Ex-Territorio;1
2009;Transposição;Regime Militar;Masculino;Militar (Ex-Territorios) Vpext;1
2009;Processo Seletivo;Contrato Temporário;Masculino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;370
2009;Processo Seletivo;Contrato Temporário;Masculino;Contrato Lei 8745/93 - Dec 4748/2003;24
2009;Processo Seletivo;Contrato Temporário;Masculino;Contrato Temporario Lei 8745/93;1865
2009;Processo Seletivo;Contrato Temporário;Masculino;Mag.Superior E 1 E 2 Graus Lei 7596/87;2387
2010;Concurso;Estatutário;Feminino;Car.Mag.Ensino Basico Federal Mp/431/08;1
2010;Concurso;Estatutário;Feminino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;288
2010;Concurso;Estatutário;Feminino;Cargo Isolado - Pcc Mag Federal;1
2010;Concurso;Estatutário;Feminino;Cargo Isolado Do Inpi;3
2010;Concurso;Estatutário;Feminino;Cargo Isolado Judic Ministerio Marinha;1
2010;Concurso;Estatutário;Feminino;Cargos Da Cvm/Susep;45
2010;Concurso;Estatutário;Feminino;Cargos Das Agencias Reguladoras;188
2010;Concurso;Estatutário;Feminino;Carreira Advocacia Da Uniao;29
2010;Concurso;Estatutário;Feminino;Carreira Auditor Fiscal Federal Agrop;1
2010;Concurso;Estatutário;Feminino;Carreira Da Prev Da Saude E Do Trabalho;2016
2010;Concurso;Estatutário;Feminino;Carreira De Desenv De Politicas Sociais;1
2010;Concurso;Estatutário;Feminino;Carreira De Desenvolvimento Tecnologico;147
2010;Concurso;Estatutário;Feminino;Carreira De Financ E Execucao-Fnde;14
2010;Concurso;Estatutário;Feminino;Carreira De Infra-Estrutura;54
2010;Concurso;Estatutário;Feminino;Carreira De Magisterio Superior;3867
2010;Concurso;Estatutário;Feminino;Carreira De Oficial De Chancelaria;9
2010;Concurso;Estatutário;Feminino;Carreira De Perito Medico Federal;232
2010;Concurso;Estatutário;Feminino;Carreira De Pesquisa E Desenvolvim-Inep;5
2010;Concurso;Estatutário;Feminino;Carreira De Policial Rodoviario Federal;33
2010;Concurso;Estatutário;Feminino;Carreira De Suporte Tecnico - Fnde;3
2010;Concurso;Estatutário;Feminino;Carreira De Suporte Tecnico Tec Militar;3
2010;Concurso;Estatutário;Feminino;Carreira De Tecnologia Militar;5
2010;Concurso;Estatutário;Feminino;Carreira Defensoria Publica;55
2010;Concurso;Estatutário;Feminino;Carreira Des Tec C&T Prod Inov Saude Pub;1
2010;Concurso;Estatutário;Feminino;Carreira Dnit;15
2010;Concurso;Estatutário;Feminino;Carreira Do Dnpm;63
2010;Concurso;Estatutário;Feminino;Carreira Do Seguro Social;536
2010;Concurso;Estatutário;Feminino;Carreira Fiscal Do Trabalho;110
2010;Concurso;Estatutário;Feminino;Carreira Gest C&T Prod Inov Saude Public;1
2010;Concurso;Estatutário;Feminino;Carreira Gest Em Metrol E Qualidade;29
2010;Concurso;Estatutário;Feminino;Carreira Magist Ens Bas Tec Tecnol;1952
2010;Concurso;Estatutário;Feminino;Carreira Penitenciaria Federal;56
2010;Concurso;Estatutário;Feminino;Carreira Pesq Desen Metrol E Qualidade;20
2010;Concurso;Estatutário;Feminino;Carreira Plan Gest Infr Inf Geog Estatis;64
2010;Concurso;Estatutário;Feminino;Carreira Policial Federal;48
