ano,flag_publico_privado,variavel,categoria,media_remuneracao,fator_correcao,media_remuneracao_ajustada
2015,Público,poderes,Outros,6228.272044218051,1.441140541,8975.815343299577
2015,Público,poderes,Executivo,3010.7366084303994,1.441140541,4338.894584681891
2015,Público,poderes,Judiciário,10908.257482660605,1.441140541,15720.332089928803
2015,Público,poderes,Legislativo,5908.878551610883,1.441140541,8515.524432571805
2015,Público,nivel_governo,Outros,6574.669190065644,1.441140541,9475.022313467234
2015,Público,nivel_governo,Federal,9019.406316658358,1.441140541,12998.232098687844
2015,Público,nivel_governo,Estadual,4618.333741189262,1.441140541,6655.667986296046
2015,Público,nivel_governo,Municipal,2377.842170025578,1.441140541,3426.8047513232755
2015,Público,grau_instrucao,Até Mestrado,7281.011892028474,1.441140541,10492.961417105349
2015,Público,grau_instrucao,Até Doutorado,11700.980134974354,1.441140541,16862.756841947194
2015,Público,grau_instrucao,Até Fundamental,1853.7150959303779,1.441140541,2671.4639762089714
2015,Público,grau_instrucao,Até Ensino Médio,2603.995021040953,1.441140541,3752.722793384265
2015,Público,grau_instrucao,Até Ensino Superior Completo,5483.889228582864,1.441140541,7903.055089663982
2010,Privado,nivel_governo,Outros,1312.8373638014548,2.02607303,2659.904375574426
2010,Privado,poderes,Outros,1312.837363801455,2.02607303,2659.9043755744265
2010,Privado,genero,Feminino,1104.7084523686729,2.02607303,2238.220001357208
2010,Privado,genero,Masculino,1435.6322773161342,2.02607303,2908.6958380677
2010,Privado,grau_instrucao,Até Mestrado,4239.3896308600015,2.02607303,8589.312994747104
2010,Privado,grau_instrucao,Até Doutorado,5946.974909174385,2.02607303,12049.005473564921
2010,Privado,grau_instrucao,Até Fundamental,928.6175418263291,2.02607303,1881.4469566792225
2010,Privado,grau_instrucao,Até Ensino Médio,1163.1225658563546,2.02607303,2356.571261265959
2010,Privado,grau_instrucao,Até Ensino Superior Completo,3563.9373981507324,2.02607303,7220.797443001571
2010,Público,genero,Feminino,2080.2261930194027,2.02607303,4214.6901859761865
2010,Público,genero,Masculino,3016.8620480383947,2.02607303,6112.382830761157
2010,Público,poderes,Outros,4177.754964566256,2.02607303,8464.436659656296
2010,Público,poderes,Executivo,1871.8825853474668,2.02607303,3792.570821499176
2010,Público,poderes,Judiciário,7666.593629482891,2.02607303,15533.078584665098
2010,Público,poderes,Legislativo,4401.353838808891,2.02607303,8917.464308297662
2010,Público,nivel_governo,Outros,4270.9606347480885,2.02607303,8653.278154254784
2010,Público,nivel_governo,Federal,6653.289511378483,2.02607303,13480.050439785824
2010,Público,nivel_governo,Estadual,2689.0148360108083,2.02607303,5448.140436511371
2010,Público,nivel_governo,Municipal,1416.012425042062,2.02607303,2868.9445845226182
2010,Público,grau_instrucao,Até Mestrado,4197.550766402248,2.02607303,8504.544399863425
2010,Público,grau_instrucao,Até Doutorado,8860.222815277912,2.02607303,17951.45848582525
2010,Público,grau_instrucao,Até Fundamental,1225.893197037836,2.02607303,2483.7491441788356
2010,Público,grau_instrucao,Até Ensino Médio,1785.722838244512,2.02607303,3618.004881622259
2010,Público,grau_instrucao,Até Ensino Superior Completo,3797.5735052831155,2.02607303,7694.161258496683
2005,Privado,nivel_governo,Outros,913.8476368770725,2.553824904,2333.8068535182165
2005,Privado,poderes,Outros,913.8476368770727,2.553824904,2333.806853518217
2005,Privado,genero,Feminino,769.6141841230389,2.553824904,1965.459869885058
2005,Privado,genero,Masculino,992.2809009605138,2.553824904,2534.1116766365176
2005,Privado,grau_instrucao,Analfabeto,636.4574740516211,2.553824904,1625.4009475699638
2005,Privado,grau_instrucao,Até Ensino Médio,870.7851126024309,2.553824904,2223.8327065965323
2005,Privado,grau_instrucao,Até Ensino Superior Completo,2823.72700180808,2.553824904,7211.304339314727
2005,Público,genero,Feminino,1282.466421271166,2.553824904,3275.194685186059
2005,Público,genero,Masculino,1897.9999942770664,2.553824904,4847.159653176629
2005,Público,poderes,Outros,2551.54413931857,2.553824904,6516.1969666470095
2005,Público,poderes,Executivo,1133.8201070890289,2.553824904,2895.5780261399086
2005,Público,poderes,Judiciário,5168.329416161693,2.553824904,13199.008375069512
2005,Público,poderes,Legislativo,3190.767069718767,2.553824904,8148.66040551089
2005,Público,nivel_governo,Outros,2817.4586741360895,2.553824904,7195.296127999565
2005,Público,nivel_governo,Federal,3825.1979291021457,2.553824904,9768.885734070285
2005,Público,nivel_governo,Estadual,1642.4004271346387,2.553824904,4194.403113156677
2005,Público,nivel_governo,Municipal,902.3266926170814,2.553824904,2304.3843791494555
2005,Público,grau_instrucao,Analfabeto,763.3208642302995,2.553824904,1949.3878328141416
2005,Público,grau_instrucao,Até Ensino Médio,1197.483826523402,2.553824904,3058.1640183126797
2005,Público,grau_instrucao,Até Ensino Superior Completo,2513.7341267053102,2.553824904,6419.636814814712
2021,Privado,nivel_governo,Outros,2555.798368958137,1.0579,2703.779094520813
2021,Privado,poderes,Outros,2555.7983689581365,1.0579,2703.7790945208126
2021,Privado,genero,Feminino,2265.2398365698605,1.0579,2396.3972231072557
2021,Privado,genero,Masculino,2753.990529053935,1.0579,2913.446580686158
2021,Privado,grau_instrucao,Até Mestrado,7570.376354159187,1.0579,8008.701145065004
2021,Privado,grau_instrucao,Até Doutorado,8716.17949189288,1.0579,9220.846284473479
2021,Privado,grau_instrucao,Até Fundamental,1786.9159735761284,1.0579,1890.3784084461863
2021,Privado,grau_instrucao,Até Ensino Médio,2065.832710364326,1.0579,2185.4444242944205
2021,Privado,grau_instrucao,Até Ensino Superior Completo,5586.401470040805,1.0579,5909.8541151561685
2021,Público,genero,Feminino,4358.586849935264,1.0579,4610.949028546515
2021,Público,genero,Masculino,5867.962863453419,1.0579,6207.717913247373
2021,Público,poderes,Outros,6410.40556287134,1.0579,6781.568044961591
2021,Público,poderes,Executivo,3986.1035339233576,1.0579,4216.89892853752
2021,Público,poderes,Judiciário,13918.371888384301,1.0579,14724.245620721753
2021,Público,poderes,Legislativo,6491.382155965245,1.0579,6867.233182795633
2021,Público,nivel_governo,Outros,8392.25770325516,1.0579,8878.169424273634
2021,Público,nivel_governo,Federal,12013.636856882878,1.0579,12709.226430896399
2021,Público,nivel_governo,Estadual,5896.0461140021835,1.0579,6237.4271840029105
2021,Público,nivel_governo,Municipal,3275.656781166353,1.0579,3465.3173087958853
2021,Público,grau_instrucao,Até Mestrado,8519.270155716347,1.0579,9012.535897732325
2021,Público,grau_instrucao,Até Doutorado,12202.513888667743,1.0579,12909.039442821606
2021,Público,grau_instrucao,Até Fundamental,2348.324319854334,1.0579,2484.2922979739
2021,Público,grau_instrucao,Até Ensino Médio,3094.496974308508,1.0579,3273.668349120971
2021,Público,grau_instrucao,Até Ensino Superior Completo,6537.5522099986365,1.0579,6916.076482957558
2016,Privado,genero,Feminino,1871.504712997812,1.355857127,2537.493003332173
2016,Privado,genero,Masculino,2358.361354460111,1.355857127,3197.6010504861147
